Ev Sahibi,Deplasman Takımı,Ev IY,Dep IY,Ev MS,Dep MS,Ev Oran,Beraberlik Oran,Dep Oran,Mac Sonucu,ALT-UST
Manchester City , Newcastle,2,0,5,0,1.15,6.5,9.5,1,UST
Varbergs , Sirius,0,0,0,2,2.0,3.0,3.6,2,ALT
Kalmar , Hammarby,2,0,2,0,3.4,3.0,2.0,1,UST
Feyenoord , PSV,0,2,2,2,1.97,3.6,2.95,0,UST
Villarreal , Sevilla,0,0,1,1,1.95,3.1,3.4,0,ALT
Flamengo , Botafogo,0,0,0,1,1.45,4.0,5.5,2,ALT
E Frankfurt , Monchengladbach,0,1,1,1,2.5,3.4,2.35,0,UST
Leicester , Everton,1,2,1,2,2.45,3.0,2.6,2,UST
Arsenal , Leeds,2,0,2,1,1.37,4.3,6.0,1,UST
Norwich , West Ham,0,3,0,4,4.2,3.8,1.6,2,UST
Clermont , Montpellier,1,1,2,1,1.58,3.6,4.7,1,UST
Reims , Lens,1,0,1,2,3.1,3.1,2.1,2,UST
Angers SCO , Bordeaux,2,0,4,1,2.3,3.2,2.65,1,UST
Venezia , Bologna,2,1,4,3,3.05,3.2,2.05,1,UST
Alkmaar , Ajax,0,1,2,2,3.6,3.5,1.8,0,UST
Vitesse Arnhem , Heerenveen,1,0,1,2,1.9,3.4,3.4,2,UST
Getafe , Vallecano,0,0,0,0,2.15,2.75,3.4,0,ALT
Vietnam U23 , Philippines U23,0,0,0,0,1.2,4.8,9.5,0,ALT
Metz , Lyon,2,1,3,2,8.0,6.0,1.23,1,UST
Spezia , Atalanta,1,1,1,3,6.0,4.5,1.37,2,UST
Nijmegen , Go Ahead Eagles,0,0,1,0,1.9,3.3,3.4,1,ALT
Pohang , Seongnam,0,0,1,0,1.7,3.3,4.4,1,ALT
Jeju , Sangmu,1,0,3,1,2.03,3.05,3.3,1,UST
Tampines , Bal Khalsa,1,1,2,1,1.42,4.5,5.2,1,UST
Adelaide , Western United,1,1,2,1,2.3,3.2,2.65,1,UST
Seoul , Suwon City,0,0,3,1,1.95,3.2,3.4,1,UST
Incheon , Jeonbuk,0,0,0,1,3.1,2.9,2.1,2,ALT
Tochigi SC , Ventforet Kofu,0,0,0,0,4.3,2.75,1.9,0,ALT
Kashiwa Reysol , Urawa Reds,0,0,0,0,3.8,2.95,1.92,0,ALT
Macarthur , Western Sydney,0,1,1,1,2.45,3.2,2.5,0,UST
JEF Utd Chiba , Fagiano Okayama,0,0,1,0,2.6,2.7,2.7,1,ALT
FC Tokyo , Sagan Tosu,0,0,0,1,2.7,2.9,2.45,2,ALT
Thespa Kusatsu , Tokushima V,0,0,0,0,3.2,2.8,2.2,0,ALT
Z Kanazawa , R Yamaguchi,0,0,1,0,2.05,2.85,3.5,1,ALT
Varen Nagasaki , Vegalta Sendai,0,1,0,2,1.8,3.3,3.8,2,UST
